account balance | GET /account/balance | read | none | binary
inventory unit list | GET /inventory/unit/list.json | read | none | json
inventory unit read | GET /inventory/unit/read.json | read | none | json
inventory unit update | POST /inventory/unit/update.json | write | none | json
journal create | POST /journal/create.json | write | none | json
journal delete | POST /journal/delete.json | delete | none | json
journal import create | POST /journal/import/create.json | write | none | json
journal import entry confirm | POST /journal/import/entry/confirm.json | write | none | json
journal import entry delete | POST /journal/import/entry/delete.json | delete | none | json
journal import entry list | GET /journal/import/entry/list.json | read | none | json
journal import entry list-csv | GET /journal/import/entry/list.csv | read | none | binary
journal import entry list-pdf | GET /journal/import/entry/list.pdf | read | none | binary
journal import entry list-xlsx | GET /journal/import/entry/list.xlsx | read | none | binary
journal import entry read | GET /journal/import/entry/read.json | read | none | json
journal import entry restore | POST /journal/import/entry/restore.json | write | none | json
journal import entry unconfirm | POST /journal/import/entry/unconfirm.json | write | none | json
journal import entry update | POST /journal/import/entry/update.json | write | none | json
journal import execute | POST /journal/import/execute.json | write | none | json
journal import list | GET /journal/import/list.json | read | none | json
journal import read | GET /journal/import/read.json | read | none | json
journal list | GET /journal/list.json | read | start-limit | json
journal list-csv | GET /journal/list.csv | read | start-limit | binary
journal list-pdf | GET /journal/list.pdf | read | start-limit | binary
journal list-xlsx | GET /journal/list.xlsx | read | start-limit | binary
journal read | GET /journal/read.json | read | none | json
journal update | POST /journal/update.json | write | none | json
journal update-attachments | POST /journal/update_attachments.json | write | none | json
journal update-recurrence | POST /journal/update_recurrence.json | write | none | json
location create | POST /location/create.json | write | none | json
location delete | POST /location/delete.json | delete | none | json
location list | GET /location/list.json | read | none | json
location read | GET /location/read.json | read | none | json
location update | POST /location/update.json | write | none | json
order bookentry create | POST /order/bookentry/create.json | write | none | json
order bookentry delete | POST /order/bookentry/delete.json | delete | none | json
order bookentry list | GET /order/bookentry/list.json | read | none | json
order bookentry read | GET /order/bookentry/read.json | read | none | json
order bookentry update | POST /order/bookentry/update.json | write | none | json
order category create | POST /order/category/create.json | write | none | json
order category delete | POST /order/category/delete.json | delete | none | json
order category list | GET /order/category/list.json | read | none | json
order category read | GET /order/category/read.json | read | none | json
order category read-status | GET /order/category/read_status.json | read | none | json
order category reorder | POST /order/category/reorder.json | write | none | json
order category update | POST /order/category/update.json | write | none | json
order continue | POST /order/continue.json | write | none | json
order create | POST /order/create.json | write | none | json
order delete | POST /order/delete.json | delete | none | json
order document mail | POST /order/document/mail.json | send | none | json
order document read | GET /order/document/read.json | read | none | json
order document read-pdf | GET /order/document/read.pdf | read | none | binary
order document read-zip | GET /order/document/read.zip | read | none | binary
order document update | POST /order/document/update.json | write | none | json
order dossier | GET /order/dossier.json | read | none | json
order dossier-add | POST /order/dossier_add.json | write | none | json
order dossier-remove | POST /order/dossier_remove.json | write | none | json
order layout create | POST /order/layout/create.json | write | none | json
order layout delete | POST /order/layout/delete.json | delete | none | json
order layout list | GET /order/layout/list.json | read | none | json
order layout read | GET /order/layout/read.json | read | none | json
order layout update | POST /order/layout/update.json | write | none | json
order list | GET /order/list.json | read | start-limit | json
order list-csv | GET /order/list.csv | read | start-limit | binary
order list-pdf | GET /order/list.pdf | read | start-limit | binary
order list-xlsx | GET /order/list.xlsx | read | start-limit | binary
order payment create | POST /order/payment/create.json | write | none | json
order payment download | GET /order/payment/download | read | none | binary
order read | GET /order/read.json | read | none | json
order update | POST /order/update.json | write | none | json
order update-attachments | POST /order/update_attachments.json | write | none | json
order update-recurrence | POST /order/update_recurrence.json | write | none | json
order update-status | POST /order/update_status.json | write | none | json
person categorize | POST /person/categorize.json | write | none | json
person category create | POST /person/category/create.json | write | none | json
person category delete | POST /person/category/delete.json | delete | none | json
person category list | GET /person/category/list.json | read | none | json
person category read | GET /person/category/read.json | read | none | json
person category tree | GET /person/category/tree.json | read | none | json
person category update | POST /person/category/update.json | write | none | json
person create | POST /person/create.json | write | none | json
person delete | POST /person/delete.json | delete | none | json
person import create | POST /person/import/create.json | write | none | json
person import execute | POST /person/import/execute.json | write | none | json
person import mapping | POST /person/import/mapping.json | write | none | json
person import mapping-combo | GET /person/import/mapping_combo.json | read | none | json
person import preview | GET /person/import/preview.json | read | none | json
person list | GET /person/list.json | read | start-limit | json
person list-csv | GET /person/list.csv | read | start-limit | binary
person list-pdf | GET /person/list.pdf | read | start-limit | binary
person list-vcf | GET /person/list.vcf | read | start-limit | binary
person list-xlsx | GET /person/list.xlsx | read | start-limit | binary
person read | GET /person/read.json | read | none | json
person title create | POST /person/title/create.json | write | none | json
person title delete | POST /person/title/delete.json | delete | none | json
person title list | GET /person/title/list.json | read | none | json
person title read | GET /person/title/read.json | read | none | json
person title update | POST /person/title/update.json | write | none | json
person update | POST /person/update.json | write | none | json
person update-attachments | POST /person/update_attachments.json | write | none | json
report collection create | POST /report/collection/create.json | write | none | json
report collection delete | POST /report/collection/delete.json | delete | none | json
report collection download-annualreport-pdf | GET /report/collection/download_annualreport.pdf | read | none | binary
report collection download-csv | GET /report/collection/download.csv | read | none | binary
report collection download-pdf | GET /report/collection/download.pdf | read | none | binary
report collection download-xlsx | GET /report/collection/download.xlsx | read | none | binary
report collection meta | GET /report/collection/meta.json | read | none | json
report collection read | GET /report/collection/read.json | read | none | json
report collection reorder | POST /report/collection/reorder.json | write | none | json
report collection update | POST /report/collection/update.json | write | none | json
report element create | POST /report/element/create.json | write | none | json
report element data | GET /report/element/data.json | read | none | json
report element data-html | GET /report/element/data.html | read | none | binary
report element delete | POST /report/element/delete.json | delete | none | json
report element download-csv | GET /report/element/download.csv | read | none | binary
report element download-pdf | GET /report/element/download.pdf | read | none | binary
report element download-xlsx | GET /report/element/download.xlsx | read | none | binary
report element download-xml | GET /report/element/download.xml | read | none | binary
report element meta | GET /report/element/meta.json | read | none | json
report element read | GET /report/element/read.json | read | none | json
report element reorder | POST /report/element/reorder.json | write | none | json
report element update | POST /report/element/update.json | write | none | json
report tree | GET /report/tree.json | read | none | json
rounding create | POST /rounding/create.json | write | none | json
rounding delete | POST /rounding/delete.json | delete | none | json
rounding list | GET /rounding/list.json | read | none | json
rounding read | GET /rounding/read.json | read | none | json
rounding update | POST /rounding/update.json | write | none | json
salary bookentry create | POST /salary/bookentry/create.json | write | none | json
salary bookentry delete | POST /salary/bookentry/delete.json | delete | none | json
salary bookentry list | GET /salary/bookentry/list.json | read | none | json
salary bookentry read | GET /salary/bookentry/read.json | read | none | json
salary bookentry update | POST /salary/bookentry/update.json | write | none | json
salary category create | POST /salary/category/create.json | write | none | json
salary category delete | POST /salary/category/delete.json | delete | none | json
salary category list | GET /salary/category/list.json | read | none | json
salary category read | GET /salary/category/read.json | read | none | json
salary category tree | GET /salary/category/tree.json | read | none | json
salary category update | POST /salary/category/update.json | write | none | json
salary certificate document mail | POST /salary/certificate/document/mail.json | send | none | json
salary certificate document read | GET /salary/certificate/document/read.json | read | none | json
salary certificate document read-pdf | GET /salary/certificate/document/read.pdf | read | none | binary
salary certificate document read-zip | GET /salary/certificate/document/read.zip | read | none | binary
salary certificate list | GET /salary/certificate/list.json | read | start-limit | json
salary certificate list-csv | GET /salary/certificate/list.csv | read | start-limit | binary
salary certificate list-pdf | GET /salary/certificate/list.pdf | read | start-limit | binary
salary certificate list-xlsx | GET /salary/certificate/list.xlsx | read | start-limit | binary
salary certificate read | GET /salary/certificate/read.json | read | none | json
salary certificate template create | POST /salary/certificate/template/create.json | write | none | json
salary certificate template delete | POST /salary/certificate/template/delete.json | delete | none | json
salary certificate template list | GET /salary/certificate/template/list.json | read | none | json
salary certificate template read | GET /salary/certificate/template/read.json | read | none | json
salary certificate template tree | GET /salary/certificate/template/tree.json | read | none | json
salary certificate template update | POST /salary/certificate/template/update.json | write | none | json
salary certificate update | POST /salary/certificate/update.json | write | none | json
salary document mail | POST /salary/document/mail.json | send | none | json
salary document read | GET /salary/document/read.json | read | none | json
salary document read-pdf | GET /salary/document/read.pdf | read | none | binary
salary document read-zip | GET /salary/document/read.zip | read | none | binary
salary document update | POST /salary/document/update.json | write | none | json
salary field list | GET /salary/field/list.json | read | none | json
salary field read | GET /salary/field/read.json | read | none | json
salary insurance type create | POST /salary/insurance/type/create.json | write | none | json
salary insurance type delete | POST /salary/insurance/type/delete.json | delete | none | json
salary insurance type list | GET /salary/insurance/type/list.json | read | none | json
salary insurance type read | GET /salary/insurance/type/read.json | read | none | json
salary insurance type update | POST /salary/insurance/type/update.json | write | none | json
salary layout create | POST /salary/layout/create.json | write | none | json
salary layout delete | POST /salary/layout/delete.json | delete | none | json
salary layout list | GET /salary/layout/list.json | read | none | json
salary layout read | GET /salary/layout/read.json | read | none | json
salary layout update | POST /salary/layout/update.json | write | none | json
salary payment create | POST /salary/payment/create.json | write | none | json
salary payment download | GET /salary/payment/download | read | none | binary
salary setting create | POST /salary/setting/create.json | write | none | json
salary setting delete | POST /salary/setting/delete.json | delete | none | json
salary setting list | GET /salary/setting/list.json | read | none | json
salary setting read | GET /salary/setting/read.json | read | none | json
salary setting update | POST /salary/setting/update.json | write | none | json
salary statement calculate | POST /salary/statement/calculate.json | write | none | json
salary statement create | POST /salary/statement/create.json | write | none | json
salary statement delete | POST /salary/statement/delete.json | delete | none | json
salary statement list | GET /salary/statement/list.json | read | start-limit | json
salary statement list-csv | GET /salary/statement/list.csv | read | start-limit | binary
salary statement list-pdf | GET /salary/statement/list.pdf | read | start-limit | binary
salary statement list-xlsx | GET /salary/statement/list.xlsx | read | start-limit | binary
salary statement read | GET /salary/statement/read.json | read | none | json
salary statement update | POST /salary/statement/update.json | write | none | json
salary statement update-attachments | POST /salary/statement/update_attachments.json | write | none | json
salary statement update-multiple | POST /salary/statement/update_multiple.json | write | none | json
salary statement update-recurrence | POST /salary/statement/update_recurrence.json | write | none | json
salary statement update-status | POST /salary/statement/update_status.json | write | none | json
salary status create | POST /salary/status/create.json | write | none | json
salary status delete | POST /salary/status/delete.json | delete | none | json
salary status list | GET /salary/status/list.json | read | none | json
salary status read | GET /salary/status/read.json | read | none | json
salary status reorder | POST /salary/status/reorder.json | write | none | json
salary status update | POST /salary/status/update.json | write | none | json
salary sum create | POST /salary/sum/create.json | write | none | json
salary sum delete | POST /salary/sum/delete.json | delete | none | json
salary sum list | GET /salary/sum/list.json | read | none | json
salary sum read | GET /salary/sum/read.json | read | none | json
salary sum update | POST /salary/sum/update.json | write | none | json
salary template create | POST /salary/template/create.json | write | none | json
salary template delete | POST /salary/template/delete.json | delete | none | json
salary template list | GET /salary/template/list.json | read | none | json
salary template read | GET /salary/template/read.json | read | none | json
salary template tree | GET /salary/template/tree.json | read | none | json
salary template update | POST /salary/template/update.json | write | none | json
salary type categorize | POST /salary/type/categorize.json | write | none | json
salary type create | POST /salary/type/create.json | write | none | json
salary type delete | POST /salary/type/delete.json | delete | none | json
salary type list | GET /salary/type/list.json | read | start-limit | json
salary type list-csv | GET /salary/type/list.csv | read | start-limit | binary
salary type list-pdf | GET /salary/type/list.pdf | read | start-limit | binary
salary type list-xlsx | GET /salary/type/list.xlsx | read | start-limit | binary
salary type read | GET /salary/type/read.json | read | none | json
salary type update | POST /salary/type/update.json | write | none | json
sequencenumber create | POST /sequencenumber/create.json | write | none | json
sequencenumber delete | POST /sequencenumber/delete.json | delete | none | json
sequencenumber get | GET /sequencenumber/get | read | none | binary
sequencenumber list | GET /sequencenumber/list.json | read | none | json
sequencenumber read | GET /sequencenumber/read.json | read | none | json
sequencenumber update | POST /sequencenumber/update.json | write | none | json
setting get | GET /setting/get | read | none | binary
setting read | GET /setting/read.json | read | none | json
setting update | POST /setting/update.json | write | none | json
tax create | POST /tax/create.json | write | none | json
tax delete | POST /tax/delete.json | delete | none | json
tax list | GET /tax/list.json | read | none | json
tax read | GET /tax/read.json | read | none | json
tax update | POST /tax/update.json | write | none | json
text create | POST /text/create.json | write | none | json
text delete | POST /text/delete.json | delete | none | json
text list | GET /text/list.json | read | none | json
text read | GET /text/read.json | read | none | json
text update | POST /text/update.json | write | none | json
